experiment_id,successful,wave_amplitude,wave_frequency,square_position,square_dimension_perc,line_center_coordinates,line_thickness_perc,line_dimension_perc,line_angle,rotation,scale,filename
136,False,0.2,1.97,"(457, 178)",0.2,,0.0,0.0,0.0,"(11, -15)",0.9676009137417277,_claycode2-fragment-iO2nTqxQr98.png
137,False,0.2,1.97,"(515, 297)",0.3,,0.0,0.0,0.0,"(11, -15)",0.9676009137417277,_claycode2-fragment-iO2nTqxQr98.png
138,False,0.2,1.97,"(536, 143)",0.4,,0.0,0.0,0.0,"(11, -15)",0.9676009137417277,_claycode2-fragment-iO2nTqxQr98.png
139,False,0.2,1.97,"(418, 367)",0.5,,0.0,0.0,0.0,"(11, -15)",0.9676009137417277,_claycode2-fragment-iO2nTqxQr98.png
140,True,0.2,1.48,"(312, 517)",0.1,,0.0,0.0,0.0,"(-13, -17)",0.9566678465273089,_claycode2-fragment-pscejHqqS.png
141,True,0.2,1.48,"(95, 290)",0.2,,0.0,0.0,0.0,"(-13, -17)",0.9566678465273089,_claycode2-fragment-pscejHqqS.png
142,False,0.2,1.48,"(279, 456)",0.3,,0.0,0.0,0.0,"(-13, -17)",0.9566678465273089,_claycode2-fragment-pscejHqqS.png
143,True,0.2,1.48,"(492, 530)",0.4,,0.0,0.0,0.0,"(-13, -17)",0.9566678465273089,_claycode2-fragment-pscejHqqS.png
144,False,0.2,1.48,"(328, 444)",0.5,,0.0,0.0,0.0,"(-13, -17)",0.9566678465273089,_claycode2-fragment-pscejHqqS.png
145,True,0.2,1.6,"(596, 635)",0.1,,0.0,0.0,0.0,"(20, -19)",1.0191470734186239,_claycode2-fragment-pscejHqqS.png
146,False,0.2,1.6,"(211, 429)",0.2,,0.0,0.0,0.0,"(20, -19)",1.0191470734186239,_claycode2-fragment-pscejHqqS.png
147,False,0.2,1.6,"(340, 269)",0.3,,0.0,0.0,0.0,"(20, -19)",1.0191470734186239,_claycode2-fragment-pscejHqqS.png
148,False,0.2,1.6,"(327, 319)",0.4,,0.0,0.0,0.0,"(20, -19)",1.0191470734186239,_claycode2-fragment-pscejHqqS.png
149,False,0.2,1.6,"(289, 423)",0.5,,0.0,0.0,0.0,"(20, -19)",1.0191470734186239,_claycode2-fragment-pscejHqqS.png
150,True,0.2,1.4,"(451, 162)",0.1,,0.0,0.0,0.0,"(-16, 16)",0.9296637085582662,_claycode2-fragment-qwXqOPMnAPwG.png
151,True,0.2,1.4,"(491, 204)",0.2,,0.0,0.0,0.0,"(-16, 16)",0.9296637085582662,_claycode2-fragment-qwXqOPMnAPwG.png
152,False,0.2,1.4,"(412, 275)",0.3,,0.0,0.0,0.0,"(-16, 16)",0.9296637085582662,_claycode2-fragment-qwXqOPMnAPwG.png
153,False,0.2,1.4,"(353, 169)",0.4,,0.0,0.0,0.0,"(-16, 16)",0.9296637085582662,_claycode2-fragment-qwXqOPMnAPwG.png
154,False,0.2,1.4,"(297, 249)",0.5,,0.0,0.0,0.0,"(-16, 16)",0.9296637085582662,_claycode2-fragment-qwXqOPMnAPwG.png
155,True,0.2,1.23,"(484, 350)",0.1,,0.0,0.0,0.0,"(10, 12)",0.9233784333320919,_claycode2-fragment-qwXqOPMnAPwG.png
156,False,0.2,1.23,"(556, 617)",0.2,,0.0,0.0,0.0,"(10, 12)",0.9233784333320919,_claycode2-fragment-qwXqOPMnAPwG.png
157,False,0.2,1.23,"(517, 374)",0.3,,0.0,0.0,0.0,"(10, 12)",0.9233784333320919,_claycode2-fragment-qwXqOPMnAPwG.png
158,False,0.2,1.23,"(287, 158)",0.4,,0.0,0.0,0.0,"(10, 12)",0.9233784333320919,_claycode2-fragment-qwXqOPMnAPwG.png
159,False,0.2,1.23,"(257, 252)",0.5,,0.0,0.0,0.0,"(10, 12)",0.9233784333320919,_claycode2-fragment-qwXqOPMnAPwG.png
160,False,0.2,1.96,"(380, 579)",0.1,,0.0,0.0,0.0,"(-13, 14)",1.0332759303114654,_claycode2-g5EVtP.png
161,False,0.2,1.96,"(91, 416)",0.2,,0.0,0.0,0.0,"(-13, 14)",1.0332759303114654,_claycode2-g5EVtP.png
162,False,0.2,1.96,"(176, 449)",0.3,,0.0,0.0,0.0,"(-13, 14)",1.0332759303114654,_claycode2-g5EVtP.png
163,False,0.2,1.96,"(431, 353)",0.4,,0.0,0.0,0.0,"(-13, 14)",1.0332759303114654,_claycode2-g5EVtP.png
164,False,0.2,1.96,"(224, 400)",0.5,,0.0,0.0,0.0,"(-13, 14)",1.0332759303114654,_claycode2-g5EVtP.png
165,False,0.2,1.95,"(131, 458)",0.1,,0.0,0.0,0.0,"(-20, 15)",0.9135360343605937,_claycode2-g5EVtP.png
166,False,0.2,1.95,"(323, 576)",0.2,,0.0,0.0,0.0,"(-20, 15)",0.9135360343605937,_claycode2-g5EVtP.png
167,False,0.2,1.95,"(439, 402)",0.3,,0.0,0.0,0.0,"(-20, 15)",0.9135360343605937,_claycode2-g5EVtP.png
168,False,0.2,1.95,"(352, 276)",0.4,,0.0,0.0,0.0,"(-20, 15)",0.9135360343605937,_claycode2-g5EVtP.png
169,False,0.2,1.95,"(444, 178)",0.5,,0.0,0.0,0.0,"(-20, 15)",0.9135360343605937,_claycode2-g5EVtP.png
170,False,0.2,1.14,"(190, 595)",0.1,,0.0,0.0,0.0,"(-10, -17)",0.9811414306506115,_claycode2-iO2nTqxQr98.png
171,False,0.2,1.14,"(188, 209)",0.2,,0.0,0.0,0.0,"(-10, -17)",0.9811414306506115,_claycode2-iO2nTqxQr98.png
172,False,0.2,1.14,"(298, 284)",0.3,,0.0,0.0,0.0,"(-10, -17)",0.9811414306506115,_claycode2-iO2nTqxQr98.png
173,False,0.2,1.14,"(352, 271)",0.4,,0.0,0.0,0.0,"(-10, -17)",0.9811414306506115,_claycode2-iO2nTqxQr98.png
174,False,0.2,1.14,"(256, 191)",0.5,,0.0,0.0,0.0,"(-10, -17)",0.9811414306506115,_claycode2-iO2nTqxQr98.png
175,False,0.2,1.74,"(183, 650)",0.1,,0.0,0.0,0.0,"(-15, 13)",0.9756600866121882,_claycode2-iO2nTqxQr98.png
176,False,0.2,1.74,"(151, 520)",0.2,,0.0,0.0,0.0,"(-15, 13)",0.9756600866121882,_claycode2-iO2nTqxQr98.png
177,False,0.2,1.74,"(422, 426)",0.3,,0.0,0.0,0.0,"(-15, 13)",0.9756600866121882,_claycode2-iO2nTqxQr98.png
178,False,0.2,1.74,"(238, 348)",0.4,,0.0,0.0,0.0,"(-15, 13)",0.9756600866121882,_claycode2-iO2nTqxQr98.png
179,False,0.2,1.74,"(332, 356)",0.5,,0.0,0.0,0.0,"(-15, 13)",0.9756600866121882,_claycode2-iO2nTqxQr98.png
180,False,0.2,1.71,"(427, 97)",0.1,,0.0,0.0,0.0,"(-16, -15)",1.0615587879407955,_claycode2-pscejHqqS.png
